artifact_type,scenario,path,description
variant_table,all,valid_variants.csv,Exact finite trace language used by the generator
probability_table,all,generation_probabilities.csv,Sampling probabilities for each valid variant
method_description,all,scenario_definitions.md,Textual description of the synthetic ground truth and event-log assumptions
bpmn,baseline,bpmn/baseline.bpmn,Hand-authored BPMN specification of the happy path
bpmn,optional,bpmn/optional.bpmn,Hand-authored BPMN specification with optional activities
bpmn,order,bpmn/order.bpmn,Hand-authored BPMN specification with alternative ordering
bpmn,rework,bpmn/rework.bpmn,Hand-authored BPMN specification with one-time rework
bpmn,mixed,bpmn/mixed.bpmn,Hand-authored BPMN specification with optional activities alternative ordering and rework
visual,baseline,visuals/baseline_overview.png,Generated visual companion for the baseline BPMN specification
visual,optional,visuals/optional_overview.png,Generated visual companion for the optional-activity BPMN specification
visual,order,visuals/order_overview.png,Generated visual companion for the alternative-order BPMN specification
visual,rework,visuals/rework_overview.png,Generated visual companion for the rework BPMN specification
visual,mixed,visuals/mixed_overview.png,Generated visual companion for the mixed BPMN specification
declare,baseline,declare/baseline.declare.json,Hand-authored Declare projection of the baseline ground truth
declare,optional,declare/optional.declare.json,Hand-authored Declare projection of the optional-activity ground truth
declare,order,declare/order.declare.json,Hand-authored Declare projection of the alternative-ordering ground truth
declare,rework,declare/rework.declare.json,Hand-authored Declare projection of the rework ground truth
declare,mixed,declare/mixed.declare.json,Hand-authored Declare projection of the mixed-variability ground truth
