scenario,variability,inductive_noise_threshold,declare_min_support_ratio,declare_min_confidence_ratio,metric,n_seeds,median,mean,std,min,max,median_ci_low,median_ci_high
optional,0.0,0.0,0.05,0.95,train_variant_entropy_normalized,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
optional,0.0,0.0,0.05,0.95,imperative_bpmn_nodes,10,8.0,8.0,0.0,8.0,8.0,8.0,8.0
optional,0.0,0.0,0.05,0.95,imperative_bpmn_structural_overhead,10,2.0,2.0,0.0,2.0,2.0,2.0,2.0
optional,0.0,0.0,0.05,0.95,imperative_control_flow_complexity,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
optional,0.0,0.0,0.05,0.95,declarative_declare_constraints,10,37.0,37.0,0.0,37.0,37.0,37.0,37.0
optional,0.0,0.0,0.05,0.95,declarative_declare_constraints_primitive_preferred,10,67.0,67.0,0.0,67.0,67.0,67.0,67.0
optional,0.0,0.0,0.05,0.95,declarative_declare_relation_records_raw,10,112.0,112.0,0.0,112.0,112.0,112.0,112.0
optional,0.0,0.0,0.05,0.95,declarative_declare_constraints_per_observed_activity,10,6.166666666666667,6.166666666666666,9.362222582871203e-16,6.166666666666667,6.166666666666667,6.166666666666667,6.166666666666667
optional,0.0,0.0,0.05,0.95,imperative_test_f1,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
optional,0.0,0.0,0.05,0.95,declarative_test_f1,10,0.8571428571428571,0.8569000563269904,0.0013892103834954974,0.8547008547008548,0.8595988538681949,0.855921855921856,0.8571428571428571
optional,0.0,0.0,0.05,0.95,declarative_test_f1_leave_one_family_out_range,10,0.0437580437580438,0.04373273864964698,0.00014540965824166068,0.0435027381135164,0.0440156039631304,0.0436303909357801,0.0437580437580438
optional,0.0,0.0,0.05,0.95,declarative_closed_world_test_f1,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
optional,0.0,0.0,0.05,0.95,imperative_native_precision,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
optional,0.0,0.0,0.05,0.95,declarative_full_trace_conformance,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
optional,0.05,0.0,0.05,0.95,train_variant_entropy_normalized,10,0.2975981624014634,0.31176050817700884,0.049372312113566755,0.2672524010189025,0.4296198364196284,0.27898241507725313,0.3282282228332964
optional,0.05,0.0,0.05,0.95,imperative_bpmn_nodes,10,14.0,14.0,0.0,14.0,14.0,14.0,14.0
optional,0.05,0.0,0.05,0.95,imperative_bpmn_structural_overhead,10,6.0,6.0,0.0,6.0,6.0,6.0,6.0
optional,0.05,0.0,0.05,0.95,imperative_control_flow_complexity,10,4.0,4.0,0.0,4.0,4.0,4.0,4.0
optional,0.05,0.0,0.05,0.95,declarative_declare_constraints,10,49.0,51.4,7.58946638440411,37.0,61.0,49.0,61.0
