case_index,mutation,trace
0,optional_after_decide,Register -> Check -> Assess -> Decide -> Optional review -> Notify -> Archive
1,documents_after_assess,Register -> Check -> Assess -> Request documents -> Decide -> Notify -> Archive
2,duplicate_notify,Register -> Check -> Request documents -> Assess -> Decide -> Notify -> Notify -> Archive
3,notify_before_decide,Register -> Check -> Assess -> Optional review -> Notify -> Decide -> Archive
4,archive_before_notify,Register -> Check -> Request documents -> Assess -> Decide -> Archive -> Notify
5,notify_before_decide,Register -> Check -> Request documents -> Assess -> Notify -> Decide -> Archive
6,review_before_assess,Register -> Check -> Optional review -> Assess -> Decide -> Notify -> Archive
7,documents_after_assess,Register -> Check -> Assess -> Request documents -> Decide -> Notify -> Archive
8,missing_decide,Register -> Check -> Assess -> Notify -> Archive
9,register_not_first,Check -> Request documents -> Assess -> Decide -> Notify -> Archive -> Register
10,missing_decide,Register -> Check -> Request documents -> Assess -> Optional review -> Notify -> Archive
11,optional_after_decide,Register -> Check -> Assess -> Decide -> Optional review -> Notify -> Archive
12,documents_after_assess,Register -> Check -> Assess -> Request documents -> Decide -> Notify -> Archive
13,archive_before_notify,Register -> Check -> Request documents -> Assess -> Optional review -> Decide -> Archive -> Notify
14,register_not_first,Check -> Request documents -> Assess -> Decide -> Notify -> Archive -> Register
15,register_not_first,Check -> Request documents -> Assess -> Optional review -> Decide -> Notify -> Archive -> Register
16,missing_decide,Register -> Check -> Request documents -> Assess -> Notify -> Archive
17,review_before_assess,Register -> Check -> Optional review -> Assess -> Decide -> Notify -> Archive
18,documents_after_assess,Register -> Check -> Assess -> Request documents -> Decide -> Notify -> Archive
19,missing_decide,Register -> Check -> Assess -> Notify -> Archive
20,duplicate_notify,Register -> Check -> Request documents -> Assess -> Optional review -> Decide -> Notify -> Notify -> Archive
21,duplicate_notify,Register -> Check -> Request documents -> Assess -> Optional review -> Decide -> Notify -> Notify -> Archive
22,duplicate_register,Register -> Register -> Check -> Request documents -> Assess -> Decide -> Notify -> Archive
23,duplicate_register,Register -> Register -> Check -> Assess -> Decide -> Notify -> Archive
24,optional_after_decide,Register -> Check -> Assess -> Decide -> Optional review -> Notify -> Archive
25,optional_after_decide,Register -> Check -> Assess -> Decide -> Optional review -> Notify -> Archive
26,duplicate_notify,Register -> Check -> Assess -> Optional review -> Decide -> Notify -> Notify -> Archive
27,archive_before_notify,Register -> Check -> Assess -> Decide -> Archive -> Notify
28,archive_before_notify,Register -> Check -> Request documents -> Assess -> Decide -> Archive -> Notify
29,duplicate_notify,Register -> Check -> Assess -> Decide -> Notify -> Notify -> Archive
30,notify_before_decide,Register -> Check -> Request documents -> Assess -> Notify -> Decide -> Archive
31,documents_after_assess,Register -> Check -> Assess -> Request documents -> Decide -> Notify -> Archive
32,documents_after_assess,Register -> Check -> Assess -> Request documents -> Decide -> Notify -> Archive
33,optional_after_decide,Register -> Check -> Assess -> Decide -> Optional review -> Notify -> Archive
34,documents_after_assess,Register -> Check -> Assess -> Request documents -> Decide -> Notify -> Archive
35,optional_after_decide,Register -> Check -> Assess -> Decide -> Optional review -> Notify -> Archive
36,review_before_assess,Register -> Check -> Optional review -> Assess -> Decide -> Notify -> Archive
37,register_not_first,Check -> Assess -> Decide -> Notify -> Archive -> Register
38,duplicate_register,Register -> Register -> Check -> Request documents -> Assess -> Optional review -> Decide -> Notify -> Archive
39,duplicate_notify,Register -> Check -> Request documents -> Assess -> Decide -> Notify -> Notify -> Archive
40,register_not_first,Check -> Request documents -> Assess -> Decide -> Notify -> Archive -> Register
41,review_before_assess,Register -> Check -> Optional review -> Assess -> Decide -> Notify -> Archive
42,duplicate_notify,Register -> Check -> Assess -> Decide -> Notify -> Notify -> Archive
43,optional_after_decide,Register -> Check -> Assess -> Decide -> Optional review -> Notify -> Archive
44,duplicate_register,Register -> Register -> Check -> Assess -> Decide -> Notify -> Archive
45,register_not_first,Check -> Request documents -> Assess -> Optional review -> Decide -> Notify -> Archive -> Register
46,register_not_first,Check -> Assess -> Decide -> Notify -> Archive -> Register
47,review_before_assess,Register -> Check -> Optional review -> Assess -> Decide -> Notify -> Archive
48,duplicate_notify,Register -> Check -> Request documents -> Assess -> Optional review -> Decide -> Notify -> Notify -> Archive
49,review_before_assess,Register -> Check -> Optional review -> Assess -> Decide -> Notify -> Archive
50,missing_decide,Register -> Check -> Assess -> Optional review -> Notify -> Archive
51,archive_before_notify,Register -> Check -> Assess -> Optional review -> Decide -> Archive -> Notify
52,documents_after_assess,Register -> Check -> Assess -> Request documents -> Decide -> Notify -> Archive
53,optional_after_decide,Register -> Check -> Assess -> Decide -> Optional review -> Notify -> Archive
54,notify_before_decide,Register -> Check -> Request documents -> Assess -> Optional review -> Notify -> Decide -> Archive
55,documents_after_assess,Register -> Check -> Assess -> Request documents -> Decide -> Notify -> Archive
56,duplicate_register,Register -> Register -> Check -> Assess -> Decide -> Notify -> Archive
57,documents_after_assess,Register -> Check -> Assess -> Request documents -> Decide -> Notify -> Archive
58,review_before_assess,Register -> Check -> Optional review -> Assess -> Decide -> Notify -> Archive
59,documents_after_assess,Register -> Check -> Assess -> Request documents -> Decide -> Notify -> Archive
60,register_not_first,Check -> Request documents -> Assess -> Optional review -> Decide -> Notify -> Archive -> Register
61,optional_after_decide,Register -> Check -> Assess -> Decide -> Optional review -> Notify -> Archive
62,archive_before_notify,Register -> Check -> Assess -> Decide -> Archive -> Notify
63,archive_before_notify,Register -> Check -> Assess -> Optional review -> Decide -> Archive -> Notify
64,missing_decide,Register -> Check -> Request documents -> Assess -> Notify -> Archive
65,review_before_assess,Register -> Check -> Optional review -> Assess -> Decide -> Notify -> Archive
66,notify_before_decide,Register -> Check -> Assess -> Notify -> Decide -> Archive
67,archive_before_notify,Register -> Check -> Request documents -> Assess -> Decide -> Archive -> Notify
68,optional_after_decide,Register -> Check -> Assess -> Decide -> Optional review -> Notify -> Archive
69,documents_after_assess,Register -> Check -> Assess -> Request documents -> Decide -> Notify -> Archive
70,register_not_first,Check -> Assess -> Optional review -> Decide -> Notify -> Archive -> Register
71,duplicate_register,Register -> Register -> Check -> Assess -> Optional review -> Decide -> Notify -> Archive
72,duplicate_register,Register -> Register -> Check -> Assess -> Optional review -> Decide -> Notify -> Archive
73,optional_after_decide,Register -> Check -> Assess -> Decide -> Optional review -> Notify -> Archive
74,optional_after_decide,Register -> Check -> Assess -> Decide -> Optional review -> Notify -> Archive
75,optional_after_decide,Register -> Check -> Assess -> Decide -> Optional review -> Notify -> Archive
76,review_before_assess,Register -> Check -> Optional review -> Assess -> Decide -> Notify -> Archive
77,duplicate_register,Register -> Register -> Check -> Request documents -> Assess -> Decide -> Notify -> Archive
78,review_before_assess,Register -> Check -> Optional review -> Assess -> Decide -> Notify -> Archive
79,notify_before_decide,Register -> Check -> Assess -> Optional review -> Notify -> Decide -> Archive
80,duplicate_notify,Register -> Check -> Assess -> Optional review -> Decide -> Notify -> Notify -> Archive
81,documents_after_assess,Register -> Check -> Assess -> Request documents -> Decide -> Notify -> Archive
82,duplicate_notify,Register -> Check -> Assess -> Decide -> Notify -> Notify -> Archive
83,optional_after_decide,Register -> Check -> Assess -> Decide -> Optional review -> Notify -> Archive
84,optional_after_decide,Register -> Check -> Assess -> Decide -> Optional review -> Notify -> Archive
85,review_before_assess,Register -> Check -> Optional review -> Assess -> Decide -> Notify -> Archive
86,missing_decide,Register -> Check -> Request documents -> Assess -> Optional review -> Notify -> Archive
87,archive_before_notify,Register -> Check -> Assess -> Optional review -> Decide -> Archive -> Notify
88,register_not_first,Check -> Assess -> Decide -> Notify -> Archive -> Register
89,duplicate_notify,Register -> Check -> Assess -> Optional review -> Decide -> Notify -> Notify -> Archive
90,notify_before_decide,Register -> Check -> Assess -> Notify -> Decide -> Archive
91,duplicate_notify,Register -> Check -> Request documents -> Assess -> Decide -> Notify -> Notify -> Archive
92,notify_before_decide,Register -> Check -> Assess -> Notify -> Decide -> Archive
93,documents_after_assess,Register -> Check -> Assess -> Request documents -> Decide -> Notify -> Archive
94,duplicate_register,Register -> Register -> Check -> Request documents -> Assess -> Decide -> Notify -> Archive
