case_index,mutation,trace
0,register_not_first,Check -> Assess -> Decide -> Notify -> Archive -> Register
1,duplicate_assess,Register -> Check -> Assess -> Assess -> Decide -> Notify -> Archive
2,notify_before_decide,Register -> Check -> Assess -> Notify -> Decide -> Archive
3,archive_before_notify,Register -> Check -> Assess -> Decide -> Archive -> Notify
4,missing_decide,Register -> Check -> Assess -> Notify -> Archive
5,notify_before_decide,Register -> Check -> Assess -> Notify -> Decide -> Archive
6,missing_decide,Register -> Check -> Assess -> Notify -> Archive
7,archive_before_notify,Register -> Check -> Assess -> Decide -> Archive -> Notify
8,register_not_first,Check -> Assess -> Decide -> Notify -> Archive -> Register
9,missing_decide,Register -> Check -> Assess -> Notify -> Archive
10,missing_decide,Register -> Check -> Assess -> Notify -> Archive
11,duplicate_register,Register -> Register -> Check -> Assess -> Decide -> Notify -> Archive
12,register_not_first,Check -> Assess -> Decide -> Notify -> Archive -> Register
13,duplicate_register,Register -> Register -> Check -> Assess -> Decide -> Notify -> Archive
14,duplicate_register,Register -> Register -> Check -> Assess -> Decide -> Notify -> Archive
15,archive_before_notify,Register -> Check -> Assess -> Decide -> Archive -> Notify
16,notify_before_decide,Register -> Check -> Assess -> Notify -> Decide -> Archive
17,register_not_first,Check -> Assess -> Decide -> Notify -> Archive -> Register
18,register_not_first,Check -> Assess -> Decide -> Notify -> Archive -> Register
19,duplicate_notify,Register -> Check -> Assess -> Decide -> Notify -> Notify -> Archive
20,check_after_decide,Register -> Assess -> Decide -> Check -> Notify -> Archive
21,archive_before_notify,Register -> Check -> Assess -> Decide -> Archive -> Notify
22,duplicate_assess,Register -> Check -> Assess -> Assess -> Decide -> Notify -> Archive
23,check_after_decide,Register -> Assess -> Decide -> Check -> Notify -> Archive
24,duplicate_register,Register -> Register -> Check -> Assess -> Decide -> Notify -> Archive
25,missing_decide,Register -> Check -> Assess -> Notify -> Archive
26,archive_before_notify,Register -> Check -> Assess -> Decide -> Archive -> Notify
27,duplicate_register,Register -> Register -> Check -> Assess -> Decide -> Notify -> Archive
28,register_not_first,Check -> Assess -> Decide -> Notify -> Archive -> Register
29,missing_check,Register -> Assess -> Decide -> Notify -> Archive
30,notify_before_decide,Register -> Check -> Assess -> Notify -> Decide -> Archive
31,notify_before_decide,Register -> Check -> Assess -> Notify -> Decide -> Archive
32,notify_before_decide,Register -> Check -> Assess -> Notify -> Decide -> Archive
33,check_after_decide,Register -> Assess -> Decide -> Check -> Notify -> Archive
34,notify_before_decide,Register -> Check -> Assess -> Notify -> Decide -> Archive
35,register_not_first,Check -> Assess -> Decide -> Notify -> Archive -> Register
36,check_after_decide,Register -> Assess -> Decide -> Check -> Notify -> Archive
37,missing_decide,Register -> Check -> Assess -> Notify -> Archive
38,duplicate_assess,Register -> Check -> Assess -> Assess -> Decide -> Notify -> Archive
39,register_not_first,Check -> Assess -> Decide -> Notify -> Archive -> Register
40,duplicate_assess,Register -> Check -> Assess -> Assess -> Decide -> Notify -> Archive
41,archive_before_notify,Register -> Check -> Assess -> Decide -> Archive -> Notify
42,notify_before_decide,Register -> Check -> Assess -> Notify -> Decide -> Archive
43,notify_before_decide,Register -> Check -> Assess -> Notify -> Decide -> Archive
44,missing_check,Register -> Assess -> Decide -> Notify -> Archive
45,check_after_decide,Register -> Assess -> Decide -> Check -> Notify -> Archive
46,notify_before_decide,Register -> Check -> Assess -> Notify -> Decide -> Archive
47,check_after_decide,Register -> Assess -> Decide -> Check -> Notify -> Archive
48,duplicate_notify,Register -> Check -> Assess -> Decide -> Notify -> Notify -> Archive
49,duplicate_assess,Register -> Check -> Assess -> Assess -> Decide -> Notify -> Archive
50,register_not_first,Check -> Assess -> Decide -> Notify -> Archive -> Register
51,notify_before_decide,Register -> Check -> Assess -> Notify -> Decide -> Archive
52,archive_before_notify,Register -> Check -> Assess -> Decide -> Archive -> Notify
53,notify_before_decide,Register -> Check -> Assess -> Notify -> Decide -> Archive
54,archive_before_notify,Register -> Check -> Assess -> Decide -> Archive -> Notify
55,duplicate_assess,Register -> Check -> Assess -> Assess -> Decide -> Notify -> Archive
56,check_after_decide,Register -> Assess -> Decide -> Check -> Notify -> Archive
57,missing_decide,Register -> Check -> Assess -> Notify -> Archive
58,duplicate_assess,Register -> Check -> Assess -> Assess -> Decide -> Notify -> Archive
59,duplicate_assess,Register -> Check -> Assess -> Assess -> Decide -> Notify -> Archive
60,missing_check,Register -> Assess -> Decide -> Notify -> Archive
61,missing_check,Register -> Assess -> Decide -> Notify -> Archive
62,duplicate_assess,Register -> Check -> Assess -> Assess -> Decide -> Notify -> Archive
63,check_after_decide,Register -> Assess -> Decide -> Check -> Notify -> Archive
64,missing_check,Register -> Assess -> Decide -> Notify -> Archive
65,duplicate_assess,Register -> Check -> Assess -> Assess -> Decide -> Notify -> Archive
66,check_after_decide,Register -> Assess -> Decide -> Check -> Notify -> Archive
67,duplicate_notify,Register -> Check -> Assess -> Decide -> Notify -> Notify -> Archive
68,missing_check,Register -> Assess -> Decide -> Notify -> Archive
69,duplicate_assess,Register -> Check -> Assess -> Assess -> Decide -> Notify -> Archive
70,archive_before_notify,Register -> Check -> Assess -> Decide -> Archive -> Notify
71,duplicate_notify,Register -> Check -> Assess -> Decide -> Notify -> Notify -> Archive
72,duplicate_register,Register -> Register -> Check -> Assess -> Decide -> Notify -> Archive
73,missing_check,Register -> Assess -> Decide -> Notify -> Archive
74,duplicate_notify,Register -> Check -> Assess -> Decide -> Notify -> Notify -> Archive
75,notify_before_decide,Register -> Check -> Assess -> Notify -> Decide -> Archive
76,archive_before_notify,Register -> Check -> Assess -> Decide -> Archive -> Notify
77,missing_check,Register -> Assess -> Decide -> Notify -> Archive
78,duplicate_notify,Register -> Check -> Assess -> Decide -> Notify -> Notify -> Archive
79,notify_before_decide,Register -> Check -> Assess -> Notify -> Decide -> Archive
80,duplicate_register,Register -> Register -> Check -> Assess -> Decide -> Notify -> Archive
81,register_not_first,Check -> Assess -> Decide -> Notify -> Archive -> Register
82,register_not_first,Check -> Assess -> Decide -> Notify -> Archive -> Register
83,duplicate_assess,Register -> Check -> Assess -> Assess -> Decide -> Notify -> Archive
84,archive_before_notify,Register -> Check -> Assess -> Decide -> Archive -> Notify
85,missing_check,Register -> Assess -> Decide -> Notify -> Archive
86,duplicate_register,Register -> Register -> Check -> Assess -> Decide -> Notify -> Archive
87,archive_before_notify,Register -> Check -> Assess -> Decide -> Archive -> Notify
88,missing_decide,Register -> Check -> Assess -> Notify -> Archive
89,missing_check,Register -> Assess -> Decide -> Notify -> Archive
90,archive_before_notify,Register -> Check -> Assess -> Decide -> Archive -> Notify
91,missing_decide,Register -> Check -> Assess -> Notify -> Archive
92,check_after_decide,Register -> Assess -> Decide -> Check -> Notify -> Archive
93,duplicate_notify,Register -> Check -> Assess -> Decide -> Notify -> Notify -> Archive
94,duplicate_register,Register -> Register -> Check -> Assess -> Decide -> Notify -> Archive
95,duplicate_assess,Register -> Check -> Assess -> Assess -> Decide -> Notify -> Archive
96,check_after_decide,Register -> Assess -> Decide -> Check -> Notify -> Archive
97,archive_before_notify,Register -> Check -> Assess -> Decide -> Archive -> Notify
98,duplicate_notify,Register -> Check -> Assess -> Decide -> Notify -> Notify -> Archive
99,check_after_decide,Register -> Assess -> Decide -> Check -> Notify -> Archive
