scenario,variability,inductive_noise_threshold,declare_min_support_ratio,declare_min_confidence_ratio,metric,n_seeds,median,mean,std,min,max,median_ci_low,median_ci_high
mixed,0.0,0.0,0.05,0.95,train_variant_entropy_normalized,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed,0.0,0.0,0.05,0.95,imperative_bpmn_nodes,10,8.0,8.0,0.0,8.0,8.0,8.0,8.0
mixed,0.0,0.0,0.05,0.95,imperative_bpmn_structural_overhead,10,2.0,2.0,0.0,2.0,2.0,2.0,2.0
mixed,0.0,0.0,0.05,0.95,imperative_control_flow_complexity,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed,0.0,0.0,0.05,0.95,declarative_declare_constraints,10,37.0,37.0,0.0,37.0,37.0,37.0,37.0
mixed,0.0,0.0,0.05,0.95,declarative_declare_constraints_primitive_preferred,10,67.0,67.0,0.0,67.0,67.0,67.0,67.0
mixed,0.0,0.0,0.05,0.95,declarative_declare_relation_records_raw,10,112.0,112.0,0.0,112.0,112.0,112.0,112.0
mixed,0.0,0.0,0.05,0.95,declarative_declare_constraints_per_observed_activity,10,6.166666666666667,6.166666666666666,9.362222582871203e-16,6.166666666666667,6.166666666666667,6.166666666666667,6.166666666666667
mixed,0.0,0.0,0.05,0.95,imperative_test_f1,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
mixed,0.0,0.0,0.05,0.95,declarative_test_f1,10,0.8902077151335311,0.8899459077785943,0.0014984184692932562,0.8875739644970414,0.8928571428571428,0.8888908398152863,0.8902077151335311
mixed,0.0,0.0,0.05,0.95,declarative_test_f1_leave_one_family_out_range,10,0.0357182107923947,0.03541021757753092,0.0008275489974486261,0.0330687830687831,0.0357182107923947,0.0355029585798816,0.0357182107923947
mixed,0.0,0.0,0.05,0.95,declarative_closed_world_test_f1,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
mixed,0.0,0.0,0.05,0.95,imperative_native_precision,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
mixed,0.0,0.0,0.05,0.95,declarative_full_trace_conformance,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
mixed,0.05,0.0,0.05,0.95,train_variant_entropy_normalized,10,0.36683122175660876,0.3731505944607864,0.030570740147758003,0.3293599641981077,0.4256696197811396,0.3506486946015237,0.39369276656932994
mixed,0.05,0.0,0.05,0.95,imperative_bpmn_nodes,10,21.0,21.6,1.837873166945363,20.0,24.0,20.0,24.0
mixed,0.05,0.0,0.05,0.95,imperative_bpmn_structural_overhead,10,11.0,11.6,1.837873166945363,10.0,14.0,10.0,14.0
mixed,0.05,0.0,0.05,0.95,imperative_control_flow_complexity,10,8.0,8.6,1.837873166945363,7.0,11.0,7.0,11.0
mixed,0.05,0.0,0.05,0.95,declarative_declare_constraints,10,69.0,62.4,16.32448740049405,36.0,76.0,49.0,75.5
mixed,0.05,0.0,0.05,0.95,declarative_declare_constraints_primitive_preferred,10,100.5,93.4,17.506824066314508,65.0,108.0,79.0,107.5
mixed,0.05,0.0,0.05,0.95,declarative_declare_relation_records_raw,10,148.0,140.1,19.151153141956407,109.0,156.0,124.0,155.5
mixed,0.05,0.0,0.05,0.95,declarative_declare_constraints_per_observed_activity,10,6.9,6.24,1.6324487400494045,3.6,7.6,4.9,7.55
mixed,0.05,0.0,0.05,0.95,imperative_test_f1,10,0.8224614374794881,0.8274759125664792,0.02019069160010591,0.8095238095238095,0.8636363636363636,0.8095238095238095,0.8433705283885788
mixed,0.05,0.0,0.05,0.95,declarative_test_f1,10,0.6842105263157895,0.6956582690562092,0.12954622078551759,0.4351464435146444,0.9130434782608696,0.65,0.7820069204152249
mixed,0.05,0.0,0.05,0.95,declarative_test_f1_leave_one_family_out_range,10,0.02881335315193445,0.02026442971211843,0.01788741253325796,0.0,0.0410711599217692,0.0,0.0347518902097724
mixed,0.05,0.0,0.05,0.95,declarative_closed_world_test_f1,10,0.6842105263157895,0.6956582690562092,0.12954622078551759,0.4351464435146444,0.9130434782608696,0.65,0.7820069204152249
mixed,0.05,0.0,0.05,0.95,imperative_native_precision,10,0.7463489912915539,0.7476936262923969,0.14992572587405903,0.6029535864978903,0.8953401445302767,0.6052161735033381,0.8908495084446685
mixed,0.05,0.0,0.05,0.95,declarative_full_trace_conformance,10,0.9585714285714286,0.961714285714286,0.02458545188611434,0.9142857142857144,1.0,0.9528571428571428,0.98
mixed,0.1,0.0,0.05,0.95,train_variant_entropy_normalized,10,0.5421506071069939,0.5418114219468556,0.03841408958880028,0.4782170811293916,0.5894518435676986,0.5106074555372495,0.5808250017516823
mixed,0.1,0.0,0.05,0.95,imperative_bpmn_nodes,10,26.0,24.6,3.272783388968954,20.0,28.0,20.0,27.0
mixed,0.1,0.0,0.05,0.95,imperative_bpmn_structural_overhead,10,16.0,14.6,3.272783388968954,10.0,18.0,10.0,17.0
mixed,0.1,0.0,0.05,0.95,imperative_control_flow_complexity,10,12.0,10.9,2.8067379246694513,7.0,14.0,7.0,13.0
mixed,0.1,0.0,0.05,0.95,declarative_declare_constraints,10,83.0,83.7,0.9486832980505138,83.0,85.0,83.0,85.0
mixed,0.1,0.0,0.05,0.95,declarative_declare_constraints_primitive_preferred,10,114.0,114.7,0.9486832980505138,114.0,116.0,114.0,116.0
mixed,0.1,0.0,0.05,0.95,declarative_declare_relation_records_raw,10,161.0,161.7,0.9486832980505138,161.0,163.0,161.0,163.0
mixed,0.1,0.0,0.05,0.95,declarative_declare_constraints_per_observed_activity,10,8.3,8.370000000000001,0.09486832980505104,8.3,8.5,8.3,8.5
mixed,0.1,0.0,0.05,0.95,imperative_test_f1,10,0.8975,0.9202889273356402,0.05816719009585889,0.8719723183391004,1.0,0.8719723183391004,1.0
mixed,0.1,0.0,0.05,0.95,declarative_test_f1,10,1.0,0.9652173913043478,0.04490415473863668,0.9130434782608696,1.0,0.9130434782608696,1.0
mixed,0.1,0.0,0.05,0.95,declarative_test_f1_leave_one_family_out_range,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed,0.1,0.0,0.05,0.95,declarative_closed_world_test_f1,10,1.0,0.9652173913043478,0.04490415473863668,0.9130434782608696,1.0,0.9130434782608696,1.0
mixed,0.1,0.0,0.05,0.95,imperative_native_precision,10,0.6503937475900392,0.6718743586249455,0.09276215083146476,0.5457236842105263,0.7957899305555556,0.597540544221949,0.7876785333617565
mixed,0.1,0.0,0.05,0.95,declarative_full_trace_conformance,10,1.0,0.9982857142857142,0.002409354407747272,0.9942857142857144,1.0,0.9971428571428572,1.0
mixed,0.2,0.0,0.05,0.95,train_variant_entropy_normalized,10,0.774905871072836,0.7681746236956153,0.027104422667303465,0.7088269474381855,0.8056089028472174,0.7521494038325872,0.786236161051328
mixed,0.2,0.0,0.05,0.95,imperative_bpmn_nodes,10,20.0,20.8,2.5298221281347035,20.0,28.0,20.0,20.0
mixed,0.2,0.0,0.05,0.95,imperative_bpmn_structural_overhead,10,10.0,10.8,2.5298221281347035,10.0,18.0,10.0,10.0
mixed,0.2,0.0,0.05,0.95,imperative_control_flow_complexity,10,7.0,7.7,2.213594362117866,7.0,14.0,7.0,7.0
mixed,0.2,0.0,0.05,0.95,declarative_declare_constraints,10,83.0,83.0,0.0,83.0,83.0,83.0,83.0
mixed,0.2,0.0,0.05,0.95,declarative_declare_constraints_primitive_preferred,10,114.0,114.0,0.0,114.0,114.0,114.0,114.0
mixed,0.2,0.0,0.05,0.95,declarative_declare_relation_records_raw,10,161.0,161.0,0.0,161.0,161.0,161.0,161.0
mixed,0.2,0.0,0.05,0.95,declarative_declare_constraints_per_observed_activity,10,8.3,8.3,0.0,8.3,8.3,8.3,8.3
mixed,0.2,0.0,0.05,0.95,imperative_test_f1,10,1.0,0.9916943521594686,0.026264764619338694,0.9169435215946844,1.0,1.0,1.0
mixed,0.2,0.0,0.05,0.95,declarative_test_f1,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
mixed,0.2,0.0,0.05,0.95,declarative_test_f1_leave_one_family_out_range,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixed,0.2,0.0,0.05,0.95,declarative_closed_world_test_f1,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
mixed,0.2,0.0,0.05,0.95,imperative_native_precision,10,0.7615863022727226,0.7410727404471393,0.07215031641292927,0.5364290181363351,0.7723660077440391,0.7570811614900353,0.7695326886428874
mixed,0.2,0.0,0.05,0.95,declarative_full_trace_conformance,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
mixed,0.3,0.0,0.05,0.95,train_variant_entropy_normalized,10,0.8987204007429217,0.8995981700852701,0.011971671435054782,0.880726092440372,0.9191592578785092,0.8894942697892555,0.9086259983020089
mixed,0.3,0.0,0.05,0.95,imperative_bpmn_nodes,10,20.0,20.0,0.0,20.0,20.0,20.0,20.0
