case_type,case_index,mutation_family,trace,imperative_accepts,declare_model_accepts,declare_closed_world_accepts
positive,0,valid_variant,Register -> Check -> Request documents -> Assess -> Decide -> Notify -> Archive,True,True,True
positive,1,valid_variant,Register -> Assess -> Check -> Request documents -> Decide -> Notify -> Archive,True,False,False
positive,2,valid_variant,Register -> Assess -> Optional review -> Check -> Decide -> Notify -> Archive,False,False,False
positive,3,valid_variant,Register -> Check -> Assess -> Decide -> Notify -> Archive,True,True,True
positive,4,valid_variant,Register -> Check -> Request documents -> Assess -> Manual review -> Rework -> Assess -> Decide -> Notify -> Archive,True,True,True
positive,5,valid_variant,Register -> Check -> Request documents -> Assess -> Manual review -> Rework -> Assess -> Decide -> Notify -> Archive,True,True,True
positive,6,valid_variant,Register -> Assess -> Manual review -> Rework -> Assess -> Check -> Decide -> Notify -> Archive,True,False,False
positive,7,valid_variant,Register -> Assess -> Check -> Decide -> Notify -> Archive,True,False,False
positive,8,valid_variant,Register -> Assess -> Manual review -> Rework -> Assess -> Check -> Request documents -> Decide -> Notify -> Archive,False,False,False
positive,9,valid_variant,Register -> Assess -> Check -> Request documents -> Decide -> Notify -> Archive,True,False,False
positive,10,valid_variant,Register -> Check -> Assess -> Manual review -> Rework -> Assess -> Decide -> Notify -> Archive,True,True,True
positive,11,valid_variant,Register -> Check -> Assess -> Decide -> Notify -> Archive,True,True,True
positive,12,valid_variant,Register -> Assess -> Optional review -> Check -> Decide -> Notify -> Archive,False,False,False
positive,13,valid_variant,Register -> Assess -> Optional review -> Check -> Decide -> Notify -> Archive,False,False,False
positive,14,valid_variant,Register -> Check -> Request documents -> Assess -> Decide -> Notify -> Archive,True,True,True
positive,15,valid_variant,Register -> Assess -> Optional review -> Check -> Decide -> Notify -> Archive,False,False,False
positive,16,valid_variant,Register -> Assess -> Check -> Decide -> Notify -> Archive,True,False,False
positive,17,valid_variant,Register -> Assess -> Manual review -> Rework -> Assess -> Check -> Request documents -> Decide -> Notify -> Archive,False,False,False
positive,18,valid_variant,Register -> Check -> Request documents -> Assess -> Decide -> Notify -> Archive,True,True,True
positive,19,valid_variant,Register -> Assess -> Check -> Decide -> Notify -> Archive,True,False,False
positive,20,valid_variant,Register -> Check -> Assess -> Optional review -> Decide -> Notify -> Archive,True,True,True
positive,21,valid_variant,Register -> Assess -> Optional review -> Check -> Request documents -> Decide -> Notify -> Archive,False,False,False
positive,22,valid_variant,Register -> Assess -> Check -> Request documents -> Decide -> Notify -> Archive,True,False,False
positive,23,valid_variant,Register -> Check -> Assess -> Manual review -> Rework -> Assess -> Decide -> Notify -> Archive,True,True,True
positive,24,valid_variant,Register -> Check -> Request documents -> Assess -> Optional review -> Decide -> Notify -> Archive,True,True,True
positive,25,valid_variant,Register -> Assess -> Optional review -> Check -> Decide -> Notify -> Archive,False,False,False
positive,26,valid_variant,Register -> Assess -> Optional review -> Check -> Request documents -> Decide -> Notify -> Archive,False,False,False
positive,27,valid_variant,Register -> Assess -> Check -> Request documents -> Decide -> Notify -> Archive,True,False,False
positive,28,valid_variant,Register -> Assess -> Manual review -> Rework -> Assess -> Check -> Request documents -> Decide -> Notify -> Archive,False,False,False
positive,29,valid_variant,Register -> Check -> Request documents -> Assess -> Manual review -> Rework -> Assess -> Decide -> Notify -> Archive,True,True,True
positive,30,valid_variant,Register -> Check -> Assess -> Decide -> Notify -> Archive,True,True,True
positive,31,valid_variant,Register -> Check -> Request documents -> Assess -> Manual review -> Rework -> Assess -> Decide -> Notify -> Archive,True,True,True
positive,32,valid_variant,Register -> Check -> Request documents -> Assess -> Decide -> Notify -> Archive,True,True,True
positive,33,valid_variant,Register -> Check -> Assess -> Optional review -> Decide -> Notify -> Archive,True,True,True
positive,34,valid_variant,Register -> Check -> Assess -> Optional review -> Decide -> Notify -> Archive,True,True,True
positive,35,valid_variant,Register -> Assess -> Manual review -> Rework -> Assess -> Check -> Request documents -> Decide -> Notify -> Archive,False,False,False
positive,36,valid_variant,Register -> Check -> Assess -> Decide -> Notify -> Archive,True,True,True
positive,37,valid_variant,Register -> Check -> Assess -> Optional review -> Decide -> Notify -> Archive,True,True,True
