scenario,variability,inductive_noise_threshold,declare_min_support_ratio,declare_min_confidence_ratio,metric,n_seeds,median,mean,std,min,max,median_ci_low,median_ci_high
noise,0.0,0.0,0.05,0.95,train_variant_entropy_normalized,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noise,0.0,0.0,0.05,0.95,imperative_bpmn_nodes,5,8.0,8.0,0.0,8.0,8.0,8.0,8.0
noise,0.0,0.0,0.05,0.95,imperative_bpmn_structural_overhead,5,2.0,2.0,0.0,2.0,2.0,2.0,2.0
noise,0.0,0.0,0.05,0.95,imperative_control_flow_complexity,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noise,0.0,0.0,0.05,0.95,declarative_declare_constraints,5,37.0,37.0,0.0,37.0,37.0,37.0,37.0
noise,0.0,0.0,0.05,0.95,declarative_declare_constraints_primitive_preferred,5,67.0,67.0,0.0,67.0,67.0,67.0,67.0
noise,0.0,0.0,0.05,0.95,declarative_declare_relation_records_raw,5,112.0,112.0,0.0,112.0,112.0,112.0,112.0
noise,0.0,0.0,0.05,0.95,declarative_declare_constraints_per_observed_activity,5,6.166666666666667,6.166666666666667,0.0,6.166666666666667,6.166666666666667,6.166666666666667,6.166666666666667
noise,0.0,0.0,0.05,0.95,imperative_test_f1,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0
noise,0.0,0.0,0.05,0.95,declarative_test_f1,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0
noise,0.0,0.0,0.05,0.95,declarative_test_f1_leave_one_family_out_range,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noise,0.0,0.0,0.05,0.95,declarative_closed_world_test_f1,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0
noise,0.0,0.1,0.05,0.95,train_variant_entropy_normalized,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noise,0.0,0.1,0.05,0.95,imperative_bpmn_nodes,5,8.0,8.0,0.0,8.0,8.0,8.0,8.0
noise,0.0,0.1,0.05,0.95,imperative_bpmn_structural_overhead,5,2.0,2.0,0.0,2.0,2.0,2.0,2.0
noise,0.0,0.1,0.05,0.95,imperative_control_flow_complexity,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noise,0.0,0.1,0.05,0.95,declarative_declare_constraints,5,37.0,37.0,0.0,37.0,37.0,37.0,37.0
noise,0.0,0.1,0.05,0.95,declarative_declare_constraints_primitive_preferred,5,67.0,67.0,0.0,67.0,67.0,67.0,67.0
noise,0.0,0.1,0.05,0.95,declarative_declare_relation_records_raw,5,112.0,112.0,0.0,112.0,112.0,112.0,112.0
noise,0.0,0.1,0.05,0.95,declarative_declare_constraints_per_observed_activity,5,6.166666666666667,6.166666666666667,0.0,6.166666666666667,6.166666666666667,6.166666666666667,6.166666666666667
noise,0.0,0.1,0.05,0.95,imperative_test_f1,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0
noise,0.0,0.1,0.05,0.95,declarative_test_f1,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0
noise,0.0,0.1,0.05,0.95,declarative_test_f1_leave_one_family_out_range,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noise,0.0,0.1,0.05,0.95,declarative_closed_world_test_f1,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0
noise,0.0,0.2,0.05,0.95,train_variant_entropy_normalized,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noise,0.0,0.2,0.05,0.95,imperative_bpmn_nodes,5,8.0,8.0,0.0,8.0,8.0,8.0,8.0
noise,0.0,0.2,0.05,0.95,imperative_bpmn_structural_overhead,5,2.0,2.0,0.0,2.0,2.0,2.0,2.0
noise,0.0,0.2,0.05,0.95,imperative_control_flow_complexity,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noise,0.0,0.2,0.05,0.95,declarative_declare_constraints,5,37.0,37.0,0.0,37.0,37.0,37.0,37.0
noise,0.0,0.2,0.05,0.95,declarative_declare_constraints_primitive_preferred,5,67.0,67.0,0.0,67.0,67.0,67.0,67.0
noise,0.0,0.2,0.05,0.95,declarative_declare_relation_records_raw,5,112.0,112.0,0.0,112.0,112.0,112.0,112.0
noise,0.0,0.2,0.05,0.95,declarative_declare_constraints_per_observed_activity,5,6.166666666666667,6.166666666666667,0.0,6.166666666666667,6.166666666666667,6.166666666666667,6.166666666666667
noise,0.0,0.2,0.05,0.95,imperative_test_f1,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0
noise,0.0,0.2,0.05,0.95,declarative_test_f1,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0
noise,0.0,0.2,0.05,0.95,declarative_test_f1_leave_one_family_out_range,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noise,0.0,0.2,0.05,0.95,declarative_closed_world_test_f1,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0
noise,0.05,0.0,0.05,0.95,train_variant_entropy_normalized,5,0.1280395225490243,0.1302710291140051,0.01943402697546984,0.111527844052997,0.1619924040904538,0.111527844052997,0.1619924040904538
noise,0.05,0.0,0.05,0.95,imperative_bpmn_nodes,5,31.0,32.0,4.358898943540674,28.0,39.0,28.0,39.0
noise,0.05,0.0,0.05,0.95,imperative_bpmn_structural_overhead,5,22.0,22.4,3.847076812334269,18.0,28.0,18.0,28.0
noise,0.05,0.0,0.05,0.95,imperative_control_flow_complexity,5,18.0,18.4,2.8809720581775866,16.0,23.0,16.0,23.0
noise,0.05,0.0,0.05,0.95,declarative_declare_constraints,5,37.0,37.0,0.0,37.0,37.0,37.0,37.0
noise,0.05,0.0,0.05,0.95,declarative_declare_constraints_primitive_preferred,5,67.0,67.0,0.0,67.0,67.0,67.0,67.0
noise,0.05,0.0,0.05,0.95,declarative_declare_relation_records_raw,5,112.0,112.0,0.0,112.0,112.0,112.0,112.0
noise,0.05,0.0,0.05,0.95,declarative_declare_constraints_per_observed_activity,5,4.111111111111111,3.879393939393939,0.33884605850165295,3.363636363636364,4.111111111111111,3.363636363636364,4.111111111111111
noise,0.05,0.0,0.05,0.95,imperative_test_f1,5,0.8571428571428571,0.8506354574239691,0.04231805175681481,0.7832898172323759,0.9009009009009008,0.7832898172323759,0.9009009009009008
noise,0.05,0.0,0.05,0.95,declarative_test_f1,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0
noise,0.05,0.0,0.05,0.95,declarative_test_f1_leave_one_family_out_range,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noise,0.05,0.0,0.05,0.95,declarative_closed_world_test_f1,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0
noise,0.05,0.1,0.05,0.95,train_variant_entropy_normalized,5,0.1280395225490243,0.1302710291140051,0.01943402697546984,0.111527844052997,0.1619924040904538,0.111527844052997,0.1619924040904538
noise,0.05,0.1,0.05,0.95,imperative_bpmn_nodes,5,17.0,18.4,2.6076809620810595,17.0,23.0,17.0,23.0
noise,0.05,0.1,0.05,0.95,imperative_bpmn_structural_overhead,5,8.0,8.8,1.7888543819998317,8.0,12.0,8.0,12.0
noise,0.05,0.1,0.05,0.95,imperative_control_flow_complexity,5,6.0,7.0,1.7320508075688772,6.0,10.0,6.0,10.0
noise,0.05,0.1,0.05,0.95,declarative_declare_constraints,5,37.0,37.0,0.0,37.0,37.0,37.0,37.0
noise,0.05,0.1,0.05,0.95,declarative_declare_constraints_primitive_preferred,5,67.0,67.0,0.0,67.0,67.0,67.0,67.0
noise,0.05,0.1,0.05,0.95,declarative_declare_relation_records_raw,5,112.0,112.0,0.0,112.0,112.0,112.0,112.0
