case_index,mutation,trace
0,missing_decide,Register -> Check -> Assess -> Notify -> Archive
1,noise_delete,Register -> Check -> Assess -> Notify -> Archive
2,noise_swap_adjacent,Register -> Check -> Assess -> Notify -> Decide -> Archive
3,duplicate_notify,Register -> Check -> Assess -> Decide -> Notify -> Notify -> Archive
4,noise_insert,Manual review -> Register -> Check -> Assess -> Decide -> Notify -> Archive
5,register_not_first,Check -> Assess -> Decide -> Notify -> Archive -> Register
6,archive_before_notify,Register -> Check -> Assess -> Decide -> Archive -> Notify
7,duplicate_register,Register -> Register -> Check -> Assess -> Decide -> Notify -> Archive
8,noise_swap_adjacent,Register -> Check -> Assess -> Notify -> Decide -> Archive
9,noise_delete,Register -> Check -> Assess -> Notify -> Archive
10,noise_delete,Register -> Check -> Assess -> Notify -> Archive
11,duplicate_notify,Register -> Check -> Assess -> Decide -> Notify -> Notify -> Archive
12,noise_swap_adjacent,Register -> Check -> Assess -> Notify -> Decide -> Archive
13,duplicate_notify,Register -> Check -> Assess -> Decide -> Notify -> Notify -> Archive
14,register_not_first,Check -> Assess -> Decide -> Notify -> Archive -> Register
15,notify_before_decide,Register -> Check -> Assess -> Notify -> Decide -> Archive
16,duplicate_notify,Register -> Check -> Assess -> Decide -> Notify -> Notify -> Archive
17,notify_before_decide,Register -> Check -> Assess -> Notify -> Decide -> Archive
18,noise_insert,Manual review -> Register -> Check -> Assess -> Decide -> Notify -> Archive
19,noise_insert,Manual review -> Register -> Check -> Assess -> Decide -> Notify -> Archive
20,archive_before_notify,Register -> Check -> Assess -> Decide -> Archive -> Notify
21,missing_decide,Register -> Check -> Assess -> Notify -> Archive
22,noise_insert,Manual review -> Register -> Check -> Assess -> Decide -> Notify -> Archive
23,register_not_first,Check -> Assess -> Decide -> Notify -> Archive -> Register
24,archive_before_notify,Register -> Check -> Assess -> Decide -> Archive -> Notify
25,noise_delete,Register -> Check -> Assess -> Notify -> Archive
26,noise_delete,Register -> Check -> Assess -> Notify -> Archive
27,noise_delete,Register -> Check -> Assess -> Notify -> Archive
28,noise_swap_adjacent,Register -> Check -> Assess -> Notify -> Decide -> Archive
29,duplicate_register,Register -> Register -> Check -> Assess -> Decide -> Notify -> Archive
30,noise_delete,Register -> Check -> Assess -> Notify -> Archive
31,duplicate_register,Register -> Register -> Check -> Assess -> Decide -> Notify -> Archive
32,archive_before_notify,Register -> Check -> Assess -> Decide -> Archive -> Notify
33,archive_before_notify,Register -> Check -> Assess -> Decide -> Archive -> Notify
34,noise_insert,Manual review -> Register -> Check -> Assess -> Decide -> Notify -> Archive
35,notify_before_decide,Register -> Check -> Assess -> Notify -> Decide -> Archive
36,archive_before_notify,Register -> Check -> Assess -> Decide -> Archive -> Notify
37,missing_decide,Register -> Check -> Assess -> Notify -> Archive
38,missing_decide,Register -> Check -> Assess -> Notify -> Archive
39,noise_swap_adjacent,Register -> Check -> Assess -> Notify -> Decide -> Archive
40,noise_insert,Manual review -> Register -> Check -> Assess -> Decide -> Notify -> Archive
41,noise_insert,Manual review -> Register -> Check -> Assess -> Decide -> Notify -> Archive
42,notify_before_decide,Register -> Check -> Assess -> Notify -> Decide -> Archive
43,noise_swap_adjacent,Register -> Check -> Assess -> Notify -> Decide -> Archive
44,noise_delete,Register -> Check -> Assess -> Notify -> Archive
45,archive_before_notify,Register -> Check -> Assess -> Decide -> Archive -> Notify
46,duplicate_register,Register -> Register -> Check -> Assess -> Decide -> Notify -> Archive
47,notify_before_decide,Register -> Check -> Assess -> Notify -> Decide -> Archive
48,noise_swap_adjacent,Register -> Check -> Assess -> Notify -> Decide -> Archive
49,duplicate_register,Register -> Register -> Check -> Assess -> Decide -> Notify -> Archive
50,missing_decide,Register -> Check -> Assess -> Notify -> Archive
51,noise_swap_adjacent,Register -> Check -> Assess -> Notify -> Decide -> Archive
52,register_not_first,Check -> Assess -> Decide -> Notify -> Archive -> Register
53,duplicate_notify,Register -> Check -> Assess -> Decide -> Notify -> Notify -> Archive
54,archive_before_notify,Register -> Check -> Assess -> Decide -> Archive -> Notify
55,archive_before_notify,Register -> Check -> Assess -> Decide -> Archive -> Notify
56,register_not_first,Check -> Assess -> Decide -> Notify -> Archive -> Register
57,register_not_first,Check -> Assess -> Decide -> Notify -> Archive -> Register
