scenario,variability,inductive_noise_threshold,declare_min_support_ratio,declare_min_confidence_ratio,metric,n_seeds,median,mean,std,min,max,median_ci_low,median_ci_high
optional,0.0,0.0,0.05,0.95,train_variant_entropy_normalized,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
optional,0.0,0.0,0.05,0.95,imperative_bpmn_nodes,3,8.0,8.0,0.0,8.0,8.0,8.0,8.0
optional,0.0,0.0,0.05,0.95,imperative_bpmn_structural_overhead,3,2.0,2.0,0.0,2.0,2.0,2.0,2.0
optional,0.0,0.0,0.05,0.95,imperative_control_flow_complexity,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
optional,0.0,0.0,0.05,0.95,declarative_declare_constraints,3,37.0,37.0,0.0,37.0,37.0,37.0,37.0
optional,0.0,0.0,0.05,0.95,declarative_declare_constraints_primitive_preferred,3,67.0,67.0,0.0,67.0,67.0,67.0,67.0
optional,0.0,0.0,0.05,0.95,declarative_declare_relation_records_raw,3,112.0,112.0,0.0,112.0,112.0,112.0,112.0
optional,0.0,0.0,0.05,0.95,declarative_declare_constraints_per_observed_activity,3,6.166666666666667,6.166666666666667,0.0,6.166666666666667,6.166666666666667,6.166666666666667,6.166666666666667
optional,0.0,0.0,0.05,0.95,imperative_test_f1,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0
optional,0.0,0.0,0.05,0.95,declarative_test_f1,3,0.8571428571428571,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
optional,0.0,0.0,0.05,0.95,declarative_test_f1_leave_one_family_out_range,3,0.0451127819548872,0.045112781954887195,8.498374721940739e-18,0.0451127819548872,0.0451127819548872,0.0451127819548872,0.0451127819548872
optional,0.0,0.0,0.05,0.95,declarative_closed_world_test_f1,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0
optional,0.0,0.0,0.05,0.95,imperative_native_precision,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0
optional,0.0,0.0,0.05,0.95,declarative_full_trace_conformance,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0
