scenario,variability,seed,train_traces,positive_test_traces,negative_test_traces,inductive_noise_threshold,declare_min_support_ratio,declare_min_confidence_ratio,train_activity_count,train_variant_count,train_variant_ratio,train_variant_entropy,train_variant_entropy_normalized,train_mean_trace_length,imperative_petri_places,imperative_petri_transitions,imperative_petri_visible_transitions,imperative_petri_hidden_transitions,imperative_petri_arcs,imperative_bpmn_nodes,imperative_bpmn_flows,imperative_bpmn_tasks,imperative_bpmn_gateways,imperative_bpmn_xor_gateways,imperative_bpmn_and_gateways,imperative_bpmn_or_gateways,imperative_bpmn_split_gateways,imperative_control_flow_complexity,imperative_bpmn_density,imperative_bpmn_structural_overhead,imperative_bpmn_nodes_per_observed_activity,declarative_declare_relation_records_raw,declarative_declare_symmetric_deduplicated_constraints,declarative_declare_constraints,declarative_declare_constraints_primitive_preferred,declarative_declare_redundant_records_removed,declarative_declare_unary_constraints,declarative_declare_binary_constraints,declarative_declare_template_count,declarative_declare_observed_activities,declarative_declare_constrained_activities,declarative_declare_unconstrained_activities,declarative_declare_constraint_density,declarative_declare_graph_mean_degree,declarative_declare_graph_max_degree,declarative_declare_relation_overlap,declarative_declare_mean_support_ratio,declarative_declare_mean_confidence_ratio,declarative_declare_constraints_per_observed_activity,declarative_declare_raw_records_per_observed_activity,declarative_declare_primitive_constraints_per_observed_activity,imperative_test_tp,imperative_test_fn,imperative_test_fp,imperative_test_tn,imperative_test_accuracy,imperative_test_precision,imperative_test_recall,imperative_test_f1,imperative_test_false_acceptance_rate,imperative_test_false_rejection_rate,imperative_test_mutation_family_count,imperative_test_mutation_macro_rejection_rate,imperative_test_mutation_macro_balanced_accuracy,imperative_test_f1_leave_one_family_out_min,imperative_test_f1_leave_one_family_out_max,imperative_test_f1_leave_one_family_out_range,declarative_test_tp,declarative_test_fn,declarative_test_fp,declarative_test_tn,declarative_test_accuracy,declarative_test_precision,declarative_test_recall,declarative_test_f1,declarative_test_false_acceptance_rate,declarative_test_false_rejection_rate,declarative_test_mutation_family_count,declarative_test_mutation_macro_rejection_rate,declarative_test_mutation_macro_balanced_accuracy,declarative_test_f1_leave_one_family_out_min,declarative_test_f1_leave_one_family_out_max,declarative_test_f1_leave_one_family_out_range,declarative_closed_world_test_tp,declarative_closed_world_test_fn,declarative_closed_world_test_fp,declarative_closed_world_test_tn,declarative_closed_world_test_accuracy,declarative_closed_world_test_precision,declarative_closed_world_test_recall,declarative_closed_world_test_f1,declarative_closed_world_test_false_acceptance_rate,declarative_closed_world_test_false_rejection_rate,declarative_closed_world_test_mutation_family_count,declarative_closed_world_test_mutation_macro_rejection_rate,declarative_closed_world_test_mutation_macro_balanced_accuracy,declarative_closed_world_test_f1_leave_one_family_out_min,declarative_closed_world_test_f1_leave_one_family_out_max,declarative_closed_world_test_f1_leave_one_family_out_range,imperative_native_fitness,imperative_native_precision,imperative_native_generalization,imperative_native_simplicity,declarative_full_trace_conformance,declarative_mean_constraint_satisfaction,runtime_seconds,imperative_bpmn_nodes_change_from_p0,imperative_bpmn_nodes_percent_change_from_p0,imperative_bpmn_flows_change_from_p0,imperative_bpmn_flows_percent_change_from_p0,imperative_control_flow_complexity_change_from_p0,imperative_control_flow_complexity_percent_change_from_p0,imperative_bpmn_structural_overhead_change_from_p0,imperative_bpmn_structural_overhead_percent_change_from_p0,imperative_bpmn_nodes_per_observed_activity_change_from_p0,imperative_bpmn_nodes_per_observed_activity_percent_change_from_p0,declarative_declare_constraints_change_from_p0,declarative_declare_constraints_percent_change_from_p0,declarative_declare_constraints_primitive_preferred_change_from_p0,declarative_declare_constraints_primitive_preferred_percent_change_from_p0,declarative_declare_relation_records_raw_change_from_p0,declarative_declare_relation_records_raw_percent_change_from_p0,declarative_declare_constraints_per_observed_activity_change_from_p0,declarative_declare_constraints_per_observed_activity_percent_change_from_p0,declarative_declare_raw_records_per_observed_activity_change_from_p0,declarative_declare_raw_records_per_observed_activity_percent_change_from_p0,declarative_declare_constraint_density_change_from_p0,declarative_declare_constraint_density_percent_change_from_p0,declarative_declare_template_count_change_from_p0,declarative_declare_template_count_percent_change_from_p0
optional,0.0,101,120,60,60,0.0,0.05,0.95,6,1,0.0083333333333333,0.0,0.0,6.0,7,6,6,0,12,8,7,6,0,0,0,0,0,0,0.125,2,1.3333333333333333,112,97,37,67,75,7,30,4,6,6,0,0.2517006802721088,5.0,5,5,1.0,1.0,6.166666666666667,18.666666666666668,11.166666666666666,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,20,40,0.8333333333333334,0.75,1.0,0.8571428571428571,0.3333333333333333,0.0,9.0,0.6666666666666666,0.8333333333333333,0.8571428571428571,0.9022556390977444,0.0451127819548872,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9087129070824724,1.0,1.0,1.0,0.06923262500095,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
optional,0.0,102,120,60,60,0.0,0.05,0.95,6,1,0.0083333333333333,0.0,0.0,6.0,7,6,6,0,12,8,7,6,0,0,0,0,0,0,0.125,2,1.3333333333333333,112,97,37,67,75,7,30,4,6,6,0,0.2517006802721088,5.0,5,5,1.0,1.0,6.166666666666667,18.666666666666668,11.166666666666666,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,20,40,0.8333333333333334,0.75,1.0,0.8571428571428571,0.3333333333333333,0.0,9.0,0.6666666666666666,0.8333333333333333,0.8571428571428571,0.9022556390977444,0.0451127819548872,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9087129070824724,1.0,1.0,1.0,0.0574421250003069,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
optional,0.0,103,120,60,60,0.0,0.05,0.95,6,1,0.0083333333333333,0.0,0.0,6.0,7,6,6,0,12,8,7,6,0,0,0,0,0,0,0.125,2,1.3333333333333333,112,97,37,67,75,7,30,4,6,6,0,0.2517006802721088,5.0,5,5,1.0,1.0,6.166666666666667,18.666666666666668,11.166666666666666,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,20,40,0.8333333333333334,0.75,1.0,0.8571428571428571,0.3333333333333333,0.0,9.0,0.6666666666666666,0.8333333333333333,0.8571428571428571,0.9022556390977444,0.0451127819548872,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9087129070824724,1.0,1.0,1.0,0.0581914169997617,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
optional,0.2,101,120,60,60,0.0,0.05,0.95,8,4,0.0333333333333333,1.5231889657862734,0.7615944828931367,6.441666666666666,9,10,8,2,20,14,15,8,4,4,0,0,2,4,0.0824175824175824,6,1.75,136,121,61,91,75,7,54,7,8,8,0,0.2276119402985074,6.75,7,12,0.6934426229508196,1.0,7.625,17.0,11.375,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8856873923527853,0.9047619047619048,1.0,1.0,0.0773344999997789,6.0,75.0,8.0,114.28571428571428,4.0,,4.0,200.0,0.41666666666666674,31.250000000000007,24.0,64.86486486486487,24.0,35.82089552238806,24.0,21.428571428571427,1.458333333333333,23.648648648648642,-1.6666666666666679,-8.928571428571434,-0.024088739973601392,-9.570391286809203,3.0,75.0
optional,0.2,102,120,60,60,0.0,0.05,0.95,8,4,0.0333333333333333,1.595055071943834,0.7975275359719171,6.483333333333333,9,10,8,2,20,14,15,8,4,4,0,0,2,4,0.0824175824175824,6,1.75,136,121,61,91,75,7,54,7,8,8,0,0.2276119402985074,6.75,7,12,0.701639344262295,1.0,7.625,17.0,11.375,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8871054557787682,0.9047619047619048,1.0,1.0,0.0776176669987762,6.0,75.0,8.0,114.28571428571428,4.0,,4.0,200.0,0.41666666666666674,31.250000000000007,24.0,64.86486486486487,24.0,35.82089552238806,24.0,21.428571428571427,1.458333333333333,23.648648648648642,-1.6666666666666679,-8.928571428571434,-0.024088739973601392,-9.570391286809203,3.0,75.0
optional,0.2,103,120,60,60,0.0,0.05,0.95,8,4,0.0333333333333333,1.502303869240851,0.7511519346204255,6.441666666666666,9,10,8,2,20,14,15,8,4,4,0,0,2,4,0.0824175824175824,6,1.75,136,121,61,91,75,7,54,7,8,8,0,0.2276119402985074,6.75,7,12,0.6934426229508196,1.0,7.625,17.0,11.375,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8850178717258478,0.9047619047619048,1.0,1.0,0.0813998329995229,6.0,75.0,8.0,114.28571428571428,4.0,,4.0,200.0,0.41666666666666674,31.250000000000007,24.0,64.86486486486487,24.0,35.82089552238806,24.0,21.428571428571427,1.458333333333333,23.648648648648642,-1.6666666666666679,-8.928571428571434,-0.024088739973601392,-9.570391286809203,3.0,75.0
optional,0.5,101,120,60,60,0.0,0.05,0.95,8,4,0.0333333333333333,1.9852593688267188,0.9926296844133594,6.908333333333333,9,10,8,2,20,14,15,8,4,4,0,0,2,4,0.0824175824175824,6,1.75,136,121,61,91,75,7,54,7,8,8,0,0.2276119402985074,6.75,7,12,0.7852459016393443,1.0,7.625,17.0,11.375,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.893422848094569,0.9047619047619048,1.0,1.0,0.0960459580001042,6.0,75.0,8.0,114.28571428571428,4.0,,4.0,200.0,0.41666666666666674,31.250000000000007,24.0,64.86486486486487,24.0,35.82089552238806,24.0,21.428571428571427,1.458333333333333,23.648648648648642,-1.6666666666666679,-8.928571428571434,-0.024088739973601392,-9.570391286809203,3.0,75.0
optional,0.5,102,120,60,60,0.0,0.05,0.95,8,4,0.0333333333333333,1.9967916319816368,0.9983958159908184,6.966666666666667,9,10,8,2,20,14,15,8,4,4,0,0,2,4,0.0824175824175824,6,1.75,136,121,61,91,75,7,54,7,8,8,0,0.2276119402985074,6.75,7,12,0.7967213114754098,1.0,7.625,17.0,11.375,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.893544793179146,0.9047619047619048,1.0,1.0,0.0758709169986104,6.0,75.0,8.0,114.28571428571428,4.0,,4.0,200.0,0.41666666666666674,31.250000000000007,24.0,64.86486486486487,24.0,35.82089552238806,24.0,21.428571428571427,1.458333333333333,23.648648648648642,-1.6666666666666679,-8.928571428571434,-0.024088739973601392,-9.570391286809203,3.0,75.0
optional,0.5,103,120,60,60,0.0,0.05,0.95,8,4,0.0333333333333333,1.9587470941590648,0.9793735470795324,7.166666666666667,9,10,8,2,20,14,15,8,4,4,0,0,2,4,0.0824175824175824,6,1.75,136,121,61,91,75,7,54,7,8,8,0,0.2276119402985074,6.75,7,12,0.8360655737704918,1.0,7.625,17.0,11.375,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8930328272329736,0.9047619047619048,1.0,1.0,0.0771307499999238,6.0,75.0,8.0,114.28571428571428,4.0,,4.0,200.0,0.41666666666666674,31.250000000000007,24.0,64.86486486486487,24.0,35.82089552238806,24.0,21.428571428571427,1.458333333333333,23.648648648648642,-1.6666666666666679,-8.928571428571434,-0.024088739973601392,-9.570391286809203,3.0,75.0
order,0.0,101,120,60,60,0.0,0.05,0.95,6,1,0.0083333333333333,0.0,0.0,6.0,7,6,6,0,12,8,7,6,0,0,0,0,0,0,0.125,2,1.3333333333333333,112,97,37,67,75,7,30,4,6,6,0,0.2517006802721088,5.0,5,5,1.0,1.0,6.166666666666667,18.666666666666668,11.166666666666666,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9087129070824724,1.0,1.0,1.0,0.0564716249991761,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
