case_index,mutation,trace
0,duplicate_register,Register -> Register -> Check -> Request documents -> Assess -> Manual review -> Decide -> Notify -> Archive
1,documents_after_assess,Register -> Check -> Assess -> Request documents -> Decide -> Notify -> Archive
2,notify_before_decide,Register -> Check -> Request documents -> Assess -> Notify -> Decide -> Archive
3,duplicate_register,Register -> Register -> Check -> Assess -> Decide -> Notify -> Archive
4,archive_before_notify,Register -> Check -> Request documents -> Assess -> Decide -> Archive -> Notify
5,notify_before_decide,Register -> Check -> Assess -> Notify -> Decide -> Archive
6,notify_before_decide,Register -> Check -> Assess -> Manual review -> Notify -> Decide -> Archive
7,missing_decide,Register -> Check -> Request documents -> Assess -> Notify -> Archive
8,duplicate_notify,Register -> Check -> Assess -> Decide -> Notify -> Notify -> Archive
9,notify_before_decide,Register -> Check -> Assess -> Manual review -> Notify -> Decide -> Archive
10,register_not_first,Check -> Request documents -> Assess -> Decide -> Notify -> Archive -> Register
11,review_before_assess,Register -> Check -> Manual review -> Assess -> Decide -> Notify -> Archive
12,optional_after_decide,Register -> Check -> Assess -> Decide -> Manual review -> Notify -> Archive
13,duplicate_register,Register -> Register -> Check -> Assess -> Manual review -> Decide -> Notify -> Archive
14,register_not_first,Check -> Assess -> Decide -> Notify -> Archive -> Register
15,review_before_assess,Register -> Check -> Manual review -> Assess -> Decide -> Notify -> Archive
16,duplicate_register,Register -> Register -> Check -> Assess -> Manual review -> Decide -> Notify -> Archive
17,review_before_assess,Register -> Check -> Manual review -> Assess -> Decide -> Notify -> Archive
18,duplicate_register,Register -> Register -> Check -> Request documents -> Assess -> Decide -> Notify -> Archive
19,duplicate_notify,Register -> Check -> Request documents -> Assess -> Decide -> Notify -> Notify -> Archive
20,review_before_assess,Register -> Check -> Manual review -> Assess -> Decide -> Notify -> Archive
21,documents_after_assess,Register -> Check -> Assess -> Request documents -> Decide -> Notify -> Archive
22,documents_after_assess,Register -> Check -> Assess -> Request documents -> Decide -> Notify -> Archive
23,register_not_first,Check -> Request documents -> Assess -> Decide -> Notify -> Archive -> Register
24,optional_after_decide,Register -> Check -> Assess -> Decide -> Manual review -> Notify -> Archive
25,optional_after_decide,Register -> Check -> Assess -> Decide -> Manual review -> Notify -> Archive
26,notify_before_decide,Register -> Check -> Request documents -> Assess -> Manual review -> Notify -> Decide -> Archive
27,optional_after_decide,Register -> Check -> Assess -> Decide -> Manual review -> Notify -> Archive
28,documents_after_assess,Register -> Check -> Assess -> Request documents -> Decide -> Notify -> Archive
29,register_not_first,Check -> Request documents -> Assess -> Manual review -> Decide -> Notify -> Archive -> Register
30,notify_before_decide,Register -> Check -> Request documents -> Assess -> Manual review -> Notify -> Decide -> Archive
31,missing_decide,Register -> Check -> Assess -> Notify -> Archive
32,missing_decide,Register -> Check -> Assess -> Manual review -> Notify -> Archive
33,review_before_assess,Register -> Check -> Manual review -> Assess -> Decide -> Notify -> Archive
34,register_not_first,Check -> Assess -> Manual review -> Decide -> Notify -> Archive -> Register
35,archive_before_notify,Register -> Check -> Assess -> Manual review -> Decide -> Archive -> Notify
36,optional_after_decide,Register -> Check -> Assess -> Decide -> Manual review -> Notify -> Archive
37,archive_before_notify,Register -> Check -> Assess -> Decide -> Archive -> Notify
38,register_not_first,Check -> Request documents -> Assess -> Manual review -> Decide -> Notify -> Archive -> Register
39,duplicate_register,Register -> Register -> Check -> Assess -> Decide -> Notify -> Archive
40,duplicate_notify,Register -> Check -> Assess -> Manual review -> Decide -> Notify -> Notify -> Archive
41,optional_after_decide,Register -> Check -> Assess -> Decide -> Manual review -> Notify -> Archive
42,notify_before_decide,Register -> Check -> Request documents -> Assess -> Notify -> Decide -> Archive
43,review_before_assess,Register -> Check -> Manual review -> Assess -> Decide -> Notify -> Archive
44,archive_before_notify,Register -> Check -> Request documents -> Assess -> Decide -> Archive -> Notify
45,archive_before_notify,Register -> Check -> Assess -> Decide -> Archive -> Notify
46,missing_decide,Register -> Check -> Request documents -> Assess -> Manual review -> Notify -> Archive
47,duplicate_notify,Register -> Check -> Request documents -> Assess -> Decide -> Notify -> Notify -> Archive
48,archive_before_notify,Register -> Check -> Request documents -> Assess -> Manual review -> Decide -> Archive -> Notify
49,documents_after_assess,Register -> Check -> Assess -> Request documents -> Decide -> Notify -> Archive
50,missing_decide,Register -> Check -> Request documents -> Assess -> Notify -> Archive
51,review_before_assess,Register -> Check -> Manual review -> Assess -> Decide -> Notify -> Archive
52,documents_after_assess,Register -> Check -> Assess -> Request documents -> Decide -> Notify -> Archive
53,register_not_first,Check -> Assess -> Manual review -> Decide -> Notify -> Archive -> Register
54,missing_decide,Register -> Check -> Assess -> Manual review -> Notify -> Archive
55,duplicate_notify,Register -> Check -> Assess -> Manual review -> Decide -> Notify -> Notify -> Archive
56,documents_after_assess,Register -> Check -> Assess -> Request documents -> Decide -> Notify -> Archive
57,archive_before_notify,Register -> Check -> Request documents -> Assess -> Manual review -> Decide -> Archive -> Notify
58,optional_after_decide,Register -> Check -> Assess -> Decide -> Manual review -> Notify -> Archive
59,duplicate_notify,Register -> Check -> Request documents -> Assess -> Manual review -> Decide -> Notify -> Notify -> Archive
