case_index,mutation,trace
0,duplicate_assess,Register -> Check -> Assess -> Assess -> Decide -> Notify -> Archive
1,missing_check,Register -> Assess -> Decide -> Notify -> Archive
2,missing_decide,Register -> Check -> Assess -> Notify -> Archive
3,missing_check,Register -> Assess -> Decide -> Notify -> Archive
4,missing_check,Register -> Assess -> Decide -> Notify -> Archive
5,archive_before_notify,Register -> Assess -> Check -> Decide -> Archive -> Notify
6,duplicate_assess,Register -> Assess -> Assess -> Check -> Decide -> Notify -> Archive
7,register_not_first,Check -> Assess -> Decide -> Notify -> Archive -> Register
8,check_after_decide,Register -> Assess -> Decide -> Check -> Notify -> Archive
9,missing_decide,Register -> Check -> Assess -> Notify -> Archive
10,check_after_decide,Register -> Assess -> Decide -> Check -> Notify -> Archive
11,register_not_first,Assess -> Check -> Decide -> Notify -> Archive -> Register
12,register_not_first,Assess -> Check -> Decide -> Notify -> Archive -> Register
13,archive_before_notify,Register -> Check -> Assess -> Decide -> Archive -> Notify
14,missing_decide,Register -> Assess -> Check -> Notify -> Archive
15,notify_before_decide,Register -> Assess -> Check -> Notify -> Decide -> Archive
16,notify_before_decide,Register -> Check -> Assess -> Notify -> Decide -> Archive
17,duplicate_notify,Register -> Assess -> Check -> Decide -> Notify -> Notify -> Archive
18,check_after_decide,Register -> Assess -> Decide -> Check -> Notify -> Archive
19,duplicate_register,Register -> Register -> Check -> Assess -> Decide -> Notify -> Archive
20,duplicate_assess,Register -> Assess -> Assess -> Check -> Decide -> Notify -> Archive
21,missing_decide,Register -> Assess -> Check -> Notify -> Archive
22,missing_check,Register -> Assess -> Decide -> Notify -> Archive
23,duplicate_notify,Register -> Check -> Assess -> Decide -> Notify -> Notify -> Archive
24,register_not_first,Assess -> Check -> Decide -> Notify -> Archive -> Register
25,duplicate_assess,Register -> Assess -> Assess -> Check -> Decide -> Notify -> Archive
26,missing_check,Register -> Assess -> Decide -> Notify -> Archive
27,duplicate_register,Register -> Register -> Assess -> Check -> Decide -> Notify -> Archive
28,duplicate_register,Register -> Register -> Assess -> Check -> Decide -> Notify -> Archive
29,missing_decide,Register -> Check -> Assess -> Notify -> Archive
30,check_after_decide,Register -> Assess -> Decide -> Check -> Notify -> Archive
31,notify_before_decide,Register -> Assess -> Check -> Notify -> Decide -> Archive
32,duplicate_assess,Register -> Check -> Assess -> Assess -> Decide -> Notify -> Archive
33,duplicate_notify,Register -> Check -> Assess -> Decide -> Notify -> Notify -> Archive
34,missing_decide,Register -> Check -> Assess -> Notify -> Archive
35,missing_decide,Register -> Assess -> Check -> Notify -> Archive
36,duplicate_register,Register -> Register -> Assess -> Check -> Decide -> Notify -> Archive
37,duplicate_assess,Register -> Check -> Assess -> Assess -> Decide -> Notify -> Archive
38,duplicate_register,Register -> Register -> Assess -> Check -> Decide -> Notify -> Archive
39,duplicate_register,Register -> Register -> Check -> Assess -> Decide -> Notify -> Archive
40,missing_check,Register -> Assess -> Decide -> Notify -> Archive
41,archive_before_notify,Register -> Check -> Assess -> Decide -> Archive -> Notify
42,duplicate_assess,Register -> Check -> Assess -> Assess -> Decide -> Notify -> Archive
43,notify_before_decide,Register -> Check -> Assess -> Notify -> Decide -> Archive
44,archive_before_notify,Register -> Check -> Assess -> Decide -> Archive -> Notify
45,notify_before_decide,Register -> Check -> Assess -> Notify -> Decide -> Archive
46,check_after_decide,Register -> Assess -> Decide -> Check -> Notify -> Archive
47,duplicate_notify,Register -> Assess -> Check -> Decide -> Notify -> Notify -> Archive
48,check_after_decide,Register -> Assess -> Decide -> Check -> Notify -> Archive
49,duplicate_notify,Register -> Check -> Assess -> Decide -> Notify -> Notify -> Archive
50,register_not_first,Check -> Assess -> Decide -> Notify -> Archive -> Register
51,archive_before_notify,Register -> Assess -> Check -> Decide -> Archive -> Notify
52,duplicate_notify,Register -> Assess -> Check -> Decide -> Notify -> Notify -> Archive
53,notify_before_decide,Register -> Assess -> Check -> Notify -> Decide -> Archive
54,register_not_first,Check -> Assess -> Decide -> Notify -> Archive -> Register
55,archive_before_notify,Register -> Assess -> Check -> Decide -> Archive -> Notify
56,check_after_decide,Register -> Assess -> Decide -> Check -> Notify -> Archive
57,duplicate_register,Register -> Register -> Check -> Assess -> Decide -> Notify -> Archive
58,missing_check,Register -> Assess -> Decide -> Notify -> Archive
59,register_not_first,Check -> Assess -> Decide -> Notify -> Archive -> Register
