scenario,variability,seed,train_traces,positive_test_traces,negative_test_traces,inductive_noise_threshold,declare_min_support_ratio,declare_min_confidence_ratio,train_activity_count,train_variant_count,train_variant_ratio,train_variant_entropy,train_variant_entropy_normalized,train_mean_trace_length,imperative_petri_places,imperative_petri_transitions,imperative_petri_visible_transitions,imperative_petri_hidden_transitions,imperative_petri_arcs,imperative_bpmn_nodes,imperative_bpmn_flows,imperative_bpmn_tasks,imperative_bpmn_gateways,imperative_bpmn_xor_gateways,imperative_bpmn_and_gateways,imperative_bpmn_or_gateways,imperative_bpmn_split_gateways,imperative_control_flow_complexity,imperative_bpmn_density,imperative_bpmn_structural_overhead,imperative_bpmn_nodes_per_observed_activity,declarative_declare_relation_records_raw,declarative_declare_symmetric_deduplicated_constraints,declarative_declare_constraints,declarative_declare_constraints_primitive_preferred,declarative_declare_redundant_records_removed,declarative_declare_unary_constraints,declarative_declare_binary_constraints,declarative_declare_template_count,declarative_declare_observed_activities,declarative_declare_constrained_activities,declarative_declare_unconstrained_activities,declarative_declare_constraint_density,declarative_declare_graph_mean_degree,declarative_declare_graph_max_degree,declarative_declare_relation_overlap,declarative_declare_mean_support_ratio,declarative_declare_mean_confidence_ratio,declarative_declare_constraints_per_observed_activity,declarative_declare_raw_records_per_observed_activity,declarative_declare_primitive_constraints_per_observed_activity,imperative_test_tp,imperative_test_fn,imperative_test_fp,imperative_test_tn,imperative_test_accuracy,imperative_test_precision,imperative_test_recall,imperative_test_f1,imperative_test_false_acceptance_rate,imperative_test_false_rejection_rate,imperative_test_mutation_family_count,imperative_test_mutation_macro_rejection_rate,imperative_test_mutation_macro_balanced_accuracy,imperative_test_f1_leave_one_family_out_min,imperative_test_f1_leave_one_family_out_max,imperative_test_f1_leave_one_family_out_range,declarative_test_tp,declarative_test_fn,declarative_test_fp,declarative_test_tn,declarative_test_accuracy,declarative_test_precision,declarative_test_recall,declarative_test_f1,declarative_test_false_acceptance_rate,declarative_test_false_rejection_rate,declarative_test_mutation_family_count,declarative_test_mutation_macro_rejection_rate,declarative_test_mutation_macro_balanced_accuracy,declarative_test_f1_leave_one_family_out_min,declarative_test_f1_leave_one_family_out_max,declarative_test_f1_leave_one_family_out_range,declarative_closed_world_test_tp,declarative_closed_world_test_fn,declarative_closed_world_test_fp,declarative_closed_world_test_tn,declarative_closed_world_test_accuracy,declarative_closed_world_test_precision,declarative_closed_world_test_recall,declarative_closed_world_test_f1,declarative_closed_world_test_false_acceptance_rate,declarative_closed_world_test_false_rejection_rate,declarative_closed_world_test_mutation_family_count,declarative_closed_world_test_mutation_macro_rejection_rate,declarative_closed_world_test_mutation_macro_balanced_accuracy,declarative_closed_world_test_f1_leave_one_family_out_min,declarative_closed_world_test_f1_leave_one_family_out_max,declarative_closed_world_test_f1_leave_one_family_out_range,imperative_native_fitness,imperative_native_precision,imperative_native_generalization,imperative_native_simplicity,declarative_full_trace_conformance,declarative_mean_constraint_satisfaction,runtime_seconds
optional,0.0,101,120,60,60,0.0,0.05,0.95,6,1,0.008333333333333333,0.0,0.0,6.0,7,6,6,0,12,8,7,6,0,0,0,0,0,0,0.125,2,1.3333333333333333,112,97,37,67,75,7,30,4,6,6,0,0.25170068027210885,5.0,5,5,1.0,1.0,6.166666666666667,18.666666666666668,11.166666666666666,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,20,40,0.8333333333333334,0.75,1.0,0.8571428571428571,0.3333333333333333,0.0,9.0,0.6666666666666666,0.8333333333333333,0.8571428571428571,0.9022556390977443,0.045112781954887216,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9087129070824723,1.0,1.0,1.0,0.06923262500095007
optional,0.0,102,120,60,60,0.0,0.05,0.95,6,1,0.008333333333333333,0.0,0.0,6.0,7,6,6,0,12,8,7,6,0,0,0,0,0,0,0.125,2,1.3333333333333333,112,97,37,67,75,7,30,4,6,6,0,0.25170068027210885,5.0,5,5,1.0,1.0,6.166666666666667,18.666666666666668,11.166666666666666,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,20,40,0.8333333333333334,0.75,1.0,0.8571428571428571,0.3333333333333333,0.0,9.0,0.6666666666666666,0.8333333333333333,0.8571428571428571,0.9022556390977443,0.045112781954887216,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9087129070824723,1.0,1.0,1.0,0.05744212500030699
optional,0.0,103,120,60,60,0.0,0.05,0.95,6,1,0.008333333333333333,0.0,0.0,6.0,7,6,6,0,12,8,7,6,0,0,0,0,0,0,0.125,2,1.3333333333333333,112,97,37,67,75,7,30,4,6,6,0,0.25170068027210885,5.0,5,5,1.0,1.0,6.166666666666667,18.666666666666668,11.166666666666666,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,20,40,0.8333333333333334,0.75,1.0,0.8571428571428571,0.3333333333333333,0.0,9.0,0.6666666666666666,0.8333333333333333,0.8571428571428571,0.9022556390977443,0.045112781954887216,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9087129070824723,1.0,1.0,1.0,0.058191416999761714
optional,0.2,101,120,60,60,0.0,0.05,0.95,8,4,0.03333333333333333,1.5231889657862734,0.7615944828931367,6.441666666666666,9,10,8,2,20,14,15,8,4,4,0,0,2,4,0.08241758241758242,6,1.75,136,121,61,91,75,7,54,7,8,8,0,0.22761194029850745,6.75,7,12,0.6934426229508196,1.0,7.625,17.0,11.375,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8856873923527853,0.9047619047619049,1.0,1.0,0.07733449999977893
optional,0.2,102,120,60,60,0.0,0.05,0.95,8,4,0.03333333333333333,1.5950550719438341,0.7975275359719171,6.483333333333333,9,10,8,2,20,14,15,8,4,4,0,0,2,4,0.08241758241758242,6,1.75,136,121,61,91,75,7,54,7,8,8,0,0.22761194029850745,6.75,7,12,0.701639344262295,1.0,7.625,17.0,11.375,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8871054557787682,0.9047619047619049,1.0,1.0,0.07761766699877626
optional,0.2,103,120,60,60,0.0,0.05,0.95,8,4,0.03333333333333333,1.502303869240851,0.7511519346204255,6.441666666666666,9,10,8,2,20,14,15,8,4,4,0,0,2,4,0.08241758241758242,6,1.75,136,121,61,91,75,7,54,7,8,8,0,0.22761194029850745,6.75,7,12,0.6934426229508196,1.0,7.625,17.0,11.375,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8850178717258478,0.9047619047619049,1.0,1.0,0.08139983299952291
optional,0.5,101,120,60,60,0.0,0.05,0.95,8,4,0.03333333333333333,1.9852593688267188,0.9926296844133594,6.908333333333333,9,10,8,2,20,14,15,8,4,4,0,0,2,4,0.08241758241758242,6,1.75,136,121,61,91,75,7,54,7,8,8,0,0.22761194029850745,6.75,7,12,0.7852459016393443,1.0,7.625,17.0,11.375,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.893422848094569,0.9047619047619049,1.0,1.0,0.09604595800010429
optional,0.5,102,120,60,60,0.0,0.05,0.95,8,4,0.03333333333333333,1.9967916319816368,0.9983958159908184,6.966666666666667,9,10,8,2,20,14,15,8,4,4,0,0,2,4,0.08241758241758242,6,1.75,136,121,61,91,75,7,54,7,8,8,0,0.22761194029850745,6.75,7,12,0.7967213114754098,1.0,7.625,17.0,11.375,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.893544793179146,0.9047619047619049,1.0,1.0,0.07587091699861048
optional,0.5,103,120,60,60,0.0,0.05,0.95,8,4,0.03333333333333333,1.9587470941590646,0.9793735470795323,7.166666666666667,9,10,8,2,20,14,15,8,4,4,0,0,2,4,0.08241758241758242,6,1.75,136,121,61,91,75,7,54,7,8,8,0,0.22761194029850745,6.75,7,12,0.8360655737704918,1.0,7.625,17.0,11.375,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8930328272329736,0.9047619047619049,1.0,1.0,0.07713074999992386
order,0.0,101,120,60,60,0.0,0.05,0.95,6,1,0.008333333333333333,0.0,0.0,6.0,7,6,6,0,12,8,7,6,0,0,0,0,0,0,0.125,2,1.3333333333333333,112,97,37,67,75,7,30,4,6,6,0,0.25170068027210885,5.0,5,5,1.0,1.0,6.166666666666667,18.666666666666668,11.166666666666666,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,60,0,0,60,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9087129070824723,1.0,1.0,1.0,0.05647162499917613
