scenario,variability,inductive_noise_threshold,declare_min_support_ratio,declare_min_confidence_ratio,metric,n_seeds,median,mean,std,min,max,median_ci_low,median_ci_high
rework,0.0,0.0,0.03,0.9,train_variant_entropy_normalized,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rework,0.0,0.0,0.03,0.9,imperative_bpmn_nodes,10,8.0,8.0,0.0,8.0,8.0,8.0,8.0
rework,0.0,0.0,0.03,0.9,imperative_bpmn_structural_overhead,10,2.0,2.0,0.0,2.0,2.0,2.0,2.0
rework,0.0,0.0,0.03,0.9,imperative_control_flow_complexity,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rework,0.0,0.0,0.03,0.9,declarative_declare_constraints,10,37.0,37.0,0.0,37.0,37.0,37.0,37.0
rework,0.0,0.0,0.03,0.9,declarative_declare_constraints_primitive_preferred,10,67.0,67.0,0.0,67.0,67.0,67.0,67.0
rework,0.0,0.0,0.03,0.9,declarative_declare_relation_records_raw,10,112.0,112.0,0.0,112.0,112.0,112.0,112.0
rework,0.0,0.0,0.03,0.9,declarative_declare_constraints_per_observed_activity,10,6.166666666666667,6.166666666666666,9.362222582871203e-16,6.166666666666667,6.166666666666667,6.166666666666667,6.166666666666667
rework,0.0,0.0,0.03,0.9,imperative_test_f1,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
rework,0.0,0.0,0.03,0.9,declarative_test_f1,10,0.9090909090909092,0.9090909090909094,2.340555645717801e-16,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092
rework,0.0,0.0,0.03,0.9,declarative_test_f1_leave_one_family_out_range,10,0.0432900432900432,0.0432900432900432,0.0,0.0432900432900432,0.0432900432900432,0.0432900432900432,0.0432900432900432
rework,0.0,0.0,0.03,0.9,declarative_closed_world_test_f1,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
rework,0.0,0.0,0.03,0.9,imperative_native_precision,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
