scenario,variability,inductive_noise_threshold,declare_min_support_ratio,declare_min_confidence_ratio,metric,n_seeds,median,mean,std,min,max,median_ci_low,median_ci_high
rework,0.0,0.0,0.05,0.95,train_variant_entropy_normalized,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rework,0.0,0.0,0.05,0.95,imperative_bpmn_nodes,10,8.0,8.0,0.0,8.0,8.0,8.0,8.0
rework,0.0,0.0,0.05,0.95,imperative_bpmn_structural_overhead,10,2.0,2.0,0.0,2.0,2.0,2.0,2.0
rework,0.0,0.0,0.05,0.95,imperative_control_flow_complexity,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rework,0.0,0.0,0.05,0.95,declarative_declare_constraints,10,37.0,37.0,0.0,37.0,37.0,37.0,37.0
rework,0.0,0.0,0.05,0.95,declarative_declare_constraints_primitive_preferred,10,67.0,67.0,0.0,67.0,67.0,67.0,67.0
rework,0.0,0.0,0.05,0.95,declarative_declare_relation_records_raw,10,112.0,112.0,0.0,112.0,112.0,112.0,112.0
rework,0.0,0.0,0.05,0.95,declarative_declare_constraints_per_observed_activity,10,6.166666666666667,6.166666666666666,9.362222582871203e-16,6.166666666666667,6.166666666666667,6.166666666666667,6.166666666666667
rework,0.0,0.0,0.05,0.95,imperative_test_f1,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
rework,0.0,0.0,0.05,0.95,declarative_test_f1,10,0.9090909090909092,0.9090909090909094,2.340555645717801e-16,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092
rework,0.0,0.0,0.05,0.95,declarative_test_f1_leave_one_family_out_range,10,0.0432900432900432,0.0432900432900432,0.0,0.0432900432900432,0.0432900432900432,0.0432900432900432,0.0432900432900432
rework,0.0,0.0,0.05,0.95,declarative_closed_world_test_f1,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
rework,0.0,0.0,0.05,0.95,imperative_native_precision,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
rework,0.0,0.0,0.05,0.95,declarative_full_trace_conformance,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
rework,0.03,0.0,0.05,0.95,train_variant_entropy_normalized,10,0.1943412503410101,0.19274151969843242,0.04295962620797401,0.1250829671984755,0.2679047298713761,0.1571952258581087,0.2154488276265225
rework,0.03,0.0,0.05,0.95,imperative_bpmn_nodes,10,12.0,12.0,0.0,12.0,12.0,12.0,12.0
rework,0.03,0.0,0.05,0.95,imperative_bpmn_structural_overhead,10,4.0,4.0,0.0,4.0,4.0,4.0,4.0
rework,0.03,0.0,0.05,0.95,imperative_control_flow_complexity,10,2.0,2.0,0.0,2.0,2.0,2.0,2.0
rework,0.03,0.0,0.05,0.95,declarative_declare_constraints,10,37.0,37.0,0.0,37.0,37.0,37.0,37.0
rework,0.03,0.0,0.05,0.95,declarative_declare_constraints_primitive_preferred,10,67.0,67.0,0.0,67.0,67.0,67.0,67.0
rework,0.03,0.0,0.05,0.95,declarative_declare_relation_records_raw,10,112.0,112.0,0.0,112.0,112.0,112.0,112.0
rework,0.03,0.0,0.05,0.95,declarative_declare_constraints_per_observed_activity,10,4.625,4.625,0.0,4.625,4.625,4.625,4.625
rework,0.03,0.0,0.05,0.95,imperative_test_f1,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
rework,0.03,0.0,0.05,0.95,declarative_test_f1,10,0.588235294117647,0.588235294117647,0.0,0.588235294117647,0.588235294117647,0.588235294117647,0.588235294117647
rework,0.03,0.0,0.05,0.95,declarative_test_f1_leave_one_family_out_range,10,0.036764705882353,0.03676470588235299,7.314236392868128e-18,0.036764705882353,0.036764705882353,0.036764705882353,0.036764705882353
rework,0.03,0.0,0.05,0.95,declarative_closed_world_test_f1,10,0.588235294117647,0.588235294117647,0.0,0.588235294117647,0.588235294117647,0.588235294117647,0.588235294117647
rework,0.03,0.0,0.05,0.95,imperative_native_precision,10,0.9957866751689999,0.9957916108860234,0.0011790622491739322,0.9936356404136834,0.9975747776879548,0.9951961569255404,0.9967767929089444
rework,0.03,0.0,0.05,0.95,declarative_full_trace_conformance,10,0.97,0.97,0.008544932592822062,0.9542857142857144,0.9828571428571428,0.9657142857142855,0.9771428571428572
rework,0.05,0.0,0.05,0.95,train_variant_entropy_normalized,10,0.2679047298713761,0.2707425817706547,0.052584256743369286,0.2154488276265225,0.3712323266408756,0.2290353187062702,0.30949051517413156
rework,0.05,0.0,0.05,0.95,imperative_bpmn_nodes,10,12.0,12.0,0.0,12.0,12.0,12.0,12.0
rework,0.05,0.0,0.05,0.95,imperative_bpmn_structural_overhead,10,4.0,4.0,0.0,4.0,4.0,4.0,4.0
rework,0.05,0.0,0.05,0.95,imperative_control_flow_complexity,10,2.0,2.0,0.0,2.0,2.0,2.0,2.0
rework,0.05,0.0,0.05,0.95,declarative_declare_constraints,10,37.0,45.1,13.042239071570496,37.0,64.0,37.0,64.0
rework,0.05,0.0,0.05,0.95,declarative_declare_constraints_primitive_preferred,10,67.0,75.7,14.00833085464979,67.0,96.0,67.0,96.0
rework,0.05,0.0,0.05,0.95,declarative_declare_relation_records_raw,10,112.0,121.6,15.457468529268734,112.0,144.0,112.0,144.0
rework,0.05,0.0,0.05,0.95,declarative_declare_constraints_per_observed_activity,10,4.625,5.6375,1.630279883946312,4.625,8.0,4.625,8.0
rework,0.05,0.0,0.05,0.95,imperative_test_f1,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
rework,0.05,0.0,0.05,0.95,declarative_test_f1,10,0.588235294117647,0.7117647058823529,0.19890124945750212,0.588235294117647,1.0,0.588235294117647,1.0
rework,0.05,0.0,0.05,0.95,declarative_test_f1_leave_one_family_out_range,10,0.036764705882353,0.0257352941176471,0.017759040130134143,0.0,0.036764705882353,0.0,0.036764705882353
rework,0.05,0.0,0.05,0.95,declarative_closed_world_test_f1,10,0.588235294117647,0.7117647058823529,0.19890124945750212,0.588235294117647,1.0,0.588235294117647,1.0
rework,0.05,0.0,0.05,0.95,imperative_native_precision,10,0.9936356404136834,0.9934911161052087,0.0016759056907627641,0.9901960784313726,0.9951961569255404,0.9922901836485734,0.9948041566746604
rework,0.05,0.0,0.05,0.95,declarative_full_trace_conformance,10,0.9642857142857142,0.9717142857142858,0.020133342343557924,0.9514285714285714,1.0,0.9542857142857144,1.0
rework,0.07,0.0,0.05,0.95,train_variant_entropy_normalized,10,0.3867057584215742,0.3797359293048837,0.05298414886900773,0.2679047298713761,0.4598726746138258,0.34962678123034163,0.4121673569038748
rework,0.07,0.0,0.05,0.95,imperative_bpmn_nodes,10,12.0,12.0,0.0,12.0,12.0,12.0,12.0
rework,0.07,0.0,0.05,0.95,imperative_bpmn_structural_overhead,10,4.0,4.0,0.0,4.0,4.0,4.0,4.0
rework,0.07,0.0,0.05,0.95,imperative_control_flow_complexity,10,2.0,2.0,0.0,2.0,2.0,2.0,2.0
rework,0.07,0.0,0.05,0.95,declarative_declare_constraints,10,64.0,61.3,8.538149682454623,37.0,64.0,64.0,64.0
rework,0.07,0.0,0.05,0.95,declarative_declare_constraints_primitive_preferred,10,96.0,93.1,9.170605214488301,67.0,96.0,96.0,96.0
rework,0.07,0.0,0.05,0.95,declarative_declare_relation_records_raw,10,144.0,140.8,10.119288512538814,112.0,144.0,144.0,144.0
rework,0.07,0.0,0.05,0.95,declarative_declare_constraints_per_observed_activity,10,8.0,7.6625,1.067268710306828,4.625,8.0,8.0,8.0
rework,0.07,0.0,0.05,0.95,imperative_test_f1,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
rework,0.07,0.0,0.05,0.95,declarative_test_f1,10,1.0,0.9588235294117646,0.1302114330657568,0.588235294117647,1.0,1.0,1.0
rework,0.07,0.0,0.05,0.95,declarative_test_f1_leave_one_family_out_range,10,0.0,0.0036764705882352997,0.011626020809442588,0.0,0.036764705882353,0.0,0.0
rework,0.07,0.0,0.05,0.95,declarative_closed_world_test_f1,10,1.0,0.9588235294117646,0.1302114330657568,0.588235294117647,1.0,1.0,1.0
rework,0.07,0.0,0.05,0.95,imperative_native_precision,10,0.9896335583413693,0.9898329942706579,0.0018719107709429688,0.9868522815158546,0.9936356404136834,0.9886983632112236,0.990952602917972
rework,0.07,0.0,0.05,0.95,declarative_full_trace_conformance,10,1.0,0.9954285714285713,0.014456126446483981,0.9542857142857144,1.0,1.0,1.0
rework,0.1,0.0,0.05,0.95,train_variant_entropy_normalized,10,0.4955918609869638,0.5108661198611913,0.04918050842552682,0.4598726746138258,0.6134037890618231,0.4689955935892812,0.5453519684663144
rework,0.1,0.0,0.05,0.95,imperative_bpmn_nodes,10,12.0,12.0,0.0,12.0,12.0,12.0,12.0
rework,0.1,0.0,0.05,0.95,imperative_bpmn_structural_overhead,10,4.0,4.0,0.0,4.0,4.0,4.0,4.0
rework,0.1,0.0,0.05,0.95,imperative_control_flow_complexity,10,2.0,2.0,0.0,2.0,2.0,2.0,2.0
rework,0.1,0.0,0.05,0.95,declarative_declare_constraints,10,64.0,64.0,0.0,64.0,64.0,64.0,64.0
rework,0.1,0.0,0.05,0.95,declarative_declare_constraints_primitive_preferred,10,96.0,96.0,0.0,96.0,96.0,96.0,96.0
rework,0.1,0.0,0.05,0.95,declarative_declare_relation_records_raw,10,144.0,144.0,0.0,144.0,144.0,144.0,144.0
rework,0.1,0.0,0.05,0.95,declarative_declare_constraints_per_observed_activity,10,8.0,8.0,0.0,8.0,8.0,8.0,8.0
rework,0.1,0.0,0.05,0.95,imperative_test_f1,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
rework,0.1,0.0,0.05,0.95,declarative_test_f1,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
rework,0.1,0.0,0.05,0.95,declarative_test_f1_leave_one_family_out_range,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rework,0.1,0.0,0.05,0.95,declarative_closed_world_test_f1,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
rework,0.1,0.0,0.05,0.95,imperative_native_precision,10,0.9853958493466564,0.984692252172237,0.0021524939322740827,0.9800901577761082,0.9868522815158546,0.983246643034932,0.9864864864864864
rework,0.1,0.0,0.05,0.95,declarative_full_trace_conformance,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
