train_traces,variability,n_seeds,declarative_f1_median,perfect_seed_count,perfect_seed_share,declare_constraints_median,declare_constraints_min,declare_constraints_max
100,0.0,10,0.9090909090909092,0,0.0,37.0,37,37
100,0.03,10,0.588235294117647,0,0.0,37.0,37,65
100,0.05,10,0.8333333333333333,5,0.5,64.0,37,65
100,0.07,10,1.0,8,0.8,64.0,37,65
100,0.1,10,1.0,10,1.0,64.0,64,64
350,0.0,10,0.9090909090909092,0,0.0,37.0,37,37
350,0.03,10,0.588235294117647,0,0.0,37.0,37,37
350,0.05,10,0.588235294117647,3,0.3,37.0,37,64
350,0.07,10,1.0,9,0.9,64.0,37,64
350,0.1,10,1.0,10,1.0,64.0,64,64
1000,0.0,10,0.9090909090909092,0,0.0,37.0,37,37
1000,0.03,10,0.588235294117647,0,0.0,37.0,37,37
1000,0.05,10,0.7941176470588235,5,0.5,50.5,37,64
1000,0.07,10,1.0,10,1.0,64.0,64,64
1000,0.1,10,1.0,10,1.0,64.0,64,64
